epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,16741.1,0.36545,0.39389,1.00625,0.91995,0.86175,0.92235,0.78793,0.63586,0.54849,0.87498,0.001684,0.001684,0.001684
128,16875.4,0.35793,0.38405,1.00293,0.91871,0.86276,0.92253,0.78853,0.63435,0.54762,0.87365,0.001618,0.001618,0.001618
129,17006.8,inf,0.39151,1.00475,0.91825,0.86342,0.92255,0.78885,0.63338,0.54677,0.87292,0.001552,0.001552,0.001552
130,17137.4,0.35809,0.38373,1.00169,0.91901,0.86332,0.92257,0.7896,0.63227,0.54605,0.87213,0.001486,0.001486,0.001486
131,17271.2,0.35645,0.38095,1.00064,0.91741,0.86476,0.92272,0.78997,0.63131,0.54518,0.87148,0.00142,0.00142,0.00142
132,17403.6,inf,0.37466,0.99686,0.91911,0.86389,0.92277,0.79085,0.63025,0.54421,0.87056,0.001354,0.001354,0.001354
133,17533.6,0.34874,0.37391,0.99554,0.91964,0.86351,0.92299,0.7912,0.62893,0.54306,0.86942,0.001288,0.001288,0.001288
134,17668.6,0.34891,0.37308,0.99823,0.91953,0.86419,0.92304,0.79195,0.62762,0.54216,0.86843,0.001222,0.001222,0.001222
135,17803.2,0.34945,0.37608,0.99646,0.91994,0.86387,0.92314,0.79239,0.62659,0.54145,0.86753,0.001156,0.001156,0.001156
136,17937.7,0.34158,0.36672,0.99343,0.91902,0.86476,0.92311,0.79259,0.62569,0.54036,0.86679,0.00109,0.00109,0.00109
137,18067.7,0.33969,0.36202,0.99074,0.91675,0.86712,0.92327,0.79338,0.62444,0.53936,0.86587,0.001024,0.001024,0.001024
138,18199.7,0.33646,0.3639,0.98925,0.91585,0.86824,0.92343,0.79386,0.62334,0.53832,0.86509,0.000958,0.000958,0.000958
139,18333.4,0.33564,0.36186,0.98698,0.9164,0.86879,0.92366,0.79441,0.62197,0.53758,0.86399,0.000892,0.000892,0.000892
140,18463.2,inf,0.35528,0.98646,0.9156,0.86891,0.92373,0.79487,0.62079,0.53688,0.86317,0.000826,0.000826,0.000826
141,18597.9,0.37363,0.33628,1.01101,0.91621,0.86906,0.92367,0.79547,0.61938,0.53595,0.86201,0.00076,0.00076,0.00076
142,18725.5,0.34809,0.29309,0.9944,0.91821,0.86857,0.92406,0.79622,0.61795,0.53501,0.8608,0.000694,0.000694,0.000694
143,18852.9,0.34009,0.28649,0.98718,0.91762,0.86932,0.9239,0.79673,0.6165,0.53409,0.85959,0.000628,0.000628,0.000628
144,18980.4,0.33062,0.28077,0.98441,0.91882,0.86935,0.92403,0.79775,0.61465,0.53327,0.85799,0.000562,0.000562,0.000562
145,19108,0.32513,0.27343,0.97897,0.9187,0.86863,0.92398,0.79871,0.61321,0.53232,0.85684,0.000496,0.000496,0.000496
146,19235.4,0.32328,0.27183,0.97695,0.91846,0.86946,0.92416,0.79936,0.61161,0.53153,0.8557,0.00043,0.00043,0.00043
147,19363,0.31677,0.26695,0.97248,0.91961,0.86841,0.9244,0.80014,0.60993,0.53085,0.85439,0.000364,0.000364,0.000364
148,19490.5,0.31138,0.26066,0.96724,0.91899,0.86939,0.9246,0.80058,0.60849,0.53014,0.85317,0.000298,0.000298,0.000298
149,19619.1,0.30778,0.25877,0.96662,0.9192,0.86989,0.92488,0.80128,0.60694,0.52962,0.85197,0.000232,0.000232,0.000232
150,19746.6,0.30293,0.25442,0.96381,0.91985,0.87075,0.92511,0.80186,0.60575,0.52899,0.85102,0.000166,0.000166,0.000166
